"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","pais","País","pais","1990","Hombre",93651,48320,"[91105, 97474]","[48320, 48939]"
"2","pais","País","pais","1990","Mujer",60989,36240,"[59371, 63551]","[36240, 38020]"
"3","pais","País","pais","1992","Hombre",141926,75110,"[137864, 146337]","[75110, 75110]"
"4","pais","País","pais","1992","Mujer",95373,56869,"[92278, 98684]","[53650, 58710]"
"5","pais","País","pais","1994","Hombre",189568,96390,"[179436, 209836]","[96390, 98345]"
"6","pais","País","pais","1994","Mujer",137177,81038,"[131161, 142459]","[79743, 85680]"
"7","pais","País","pais","1996","Hombre",242066,125000,"[234409, 253642]","[122580, 130000]"
"8","pais","País","pais","1996","Mujer",170693,100000,"[163509, 183035]","[100000, 102150]"
"9","pais","País","pais","1998","Hombre",294431,155620,"[285897, 304804]","[150600, 156400]"
"10","pais","País","pais","1998","Mujer",206013,120480,"[198334, 212156]","[120480, 120480]"
"11","pais","País","pais","2000","Hombre",328767,167614,"[318784, 343316]","[160086, 171487]"
"12","pais","País","pais","2000","Mujer",209151,130000,"[203190, 215737]","[130000, 136976]"
"13","pais","País","pais","2003","Hombre",348728,180000,"[338295, 358676]","[180000, 180000]"
"14","pais","País","pais","2003","Mujer",232733,140000,"[225254, 241076]","[140000, 150000]"
"15","pais","País","pais","2006","Hombre",346974,197600,"[338761, 353177]","[197600, 202000]"
"16","pais","País","pais","2006","Mujer",248467,151500,"[242688, 255859]","[151500, 151500]"
"17","pais","País","pais","2009","Hombre",473233,272673,"[461859, 486216]","[265200, 276250]"
"18","pais","País","pais","2009","Mujer",319571,205400,"[313006, 331025]","[204926, 209950]"
"19","pais","País","pais","2011","Hombre",489792,273500,"[476905, 506079]","[273500, 288186]"
"20","pais","País","pais","2011","Mujer",360948,218800,"[350691, 373580]","[218226, 218800]"
"21","pais","País","pais","2013","Hombre",469040,300000,"[460417, 480982]","[300000, 300000]"
"22","pais","País","pais","2013","Mujer",343986,221000,"[335796, 352210]","[220000, 230000]"
"23","pais","País","pais","2015","Hombre",520886,341000,"[512858, 529946]","[330000, 350000]"
"24","pais","País","pais","2015","Mujer",383833,270000,"[378542, 391304]","[262246, 280000]"
